ID_Client,Nom_Organisation,Secteur,Niveau_Importance,SLA_Contrat
CLI-100,Société Générale #71,Banque,5,Bronze (H8/5)
CLI-101,BNP-Paribas #10,Banque,4,Argent (H12/5)
CLI-102,Gouvernement - Service IT #5,État,4,Or (H24/7)
CLI-103,Allianz-Enterprise #17,Assurance,2,Or (H24/7)
CLI-104,EDF-Pro #59,Énergie,4,Bronze (H8/5)
CLI-105,Gouvernement - Service IT #36,État,5,Argent (H12/5)
CLI-106,Préfecture de Police #89,État,5,Argent (H12/5)
CLI-107,EDF-Pro #95,Énergie,4,Bronze (H8/5)
CLI-108,Microsoft-Azure #96,Tech,3,Bronze (H8/5)
CLI-109,Laboratoire BioTech #30,Santé,4,Or (H24/7)
CLI-110,Google-Cloud #24,Tech,1,Bronze (H8/5)
CLI-111,Société Générale #12,Banque,5,Or (H24/7)
CLI-112,Réseau Énergie France #40,Énergie,5,Bronze (H8/5)
CLI-113,BNP-Paribas #45,Banque,5,Or (H24/7)
CLI-114,Google-Cloud #33,Tech,4,Argent (H12/5)
CLI-115,BNP-Paribas #59,Banque,3,Or (H24/7)
CLI-116,Amazon-AWS #19,Tech,2,Bronze (H8/5)
CLI-117,Google-Cloud #96,Tech,1,Or (H24/7)
CLI-118,Microsoft-Azure #28,Tech,2,Or (H24/7)
CLI-119,TotalEnergies-B2B #84,Énergie,4,Bronze (H8/5)
CLI-120,Élysée #69,État,4,Argent (H12/5)
CLI-121,EDF-Pro #66,Énergie,4,Argent (H12/5)
CLI-122,TotalEnergies-B2B #47,Énergie,5,Argent (H12/5)
CLI-123,Crédit Agricole #41,Banque,5,Or (H24/7)
CLI-124,Réseau Énergie France #60,Énergie,5,Argent (H12/5)
CLI-125,TotalEnergies-B2B #89,Énergie,4,Argent (H12/5)
CLI-126,Clinique du Sud #98,Santé,4,Or (H24/7)
CLI-127,Société Générale #8,Banque,5,Or (H24/7)
CLI-128,Amazon-AWS #11,Tech,1,Or (H24/7)
CLI-129,Generali-Group #71,Assurance,4,Or (H24/7)
CLI-130,Amazon-AWS #94,Tech,3,Or (H24/7)
CLI-131,Crédit Agricole #60,Banque,3,Argent (H12/5)
CLI-132,Réseau Énergie France #15,Énergie,4,Or (H24/7)
CLI-133,Gouvernement - Service IT #98,État,4,Or (H24/7)
CLI-134,Laboratoire BioTech #59,Santé,4,Argent (H12/5)
CLI-135,AXA-Corporate #10,Assurance,1,Argent (H12/5)
CLI-136,Generali-Group #35,Assurance,4,Or (H24/7)
CLI-137,Laboratoire BioTech #19,Santé,5,Or (H24/7)
CLI-138,Google-Cloud #5,Tech,3,Or (H24/7)
CLI-139,Hôpital de Paris #74,Santé,5,Or (H24/7)
CLI-140,Hôpital de Paris #57,Santé,4,Or (H24/7)
CLI-141,Maif-Pro #1,Assurance,3,Bronze (H8/5)
CLI-142,Ministère des Finances #9,État,5,Argent (H12/5)
CLI-143,Laboratoire BioTech #5,Santé,4,Bronze (H8/5)
CLI-144,Clinique du Sud #5,Santé,4,Bronze (H8/5)
CLI-145,Clinique du Sud #16,Santé,4,Bronze (H8/5)
CLI-146,BPCE #10,Banque,4,Bronze (H8/5)
CLI-147,BPCE #59,Banque,5,Argent (H12/5)
CLI-148,Microsoft-Azure #18,Tech,2,Argent (H12/5)
CLI-149,EDF-Pro #92,Énergie,4,Argent (H12/5)
CLI-150,Allianz-Enterprise #32,Assurance,1,Argent (H12/5)
